UsualHoursWorked,EducationYrs, YearlyEarnings ,Race,Sex,,,"Note: data is a sample of 6050 full-time workers in five North-Central States, March 1999"
50,18,45600,White,Female,,,
50,18,45600,White,Female,,,
0,18,46480,White,Female,,,
40,18,47000,White,Female,,,
0,18,47000,White,Male,,,
45,18,47000,White,Female,,,
45,18,47000,White,Male,,,
40,18,47000,White,Male,,,
44,18,47000,White,Female,,,
50,18,47500,White,Male,,,
75,18,47905,White,Male,,,
48,18,47905,White,Male,,,
60,18,48000,White,Male,,,
40,18,48000,White,Male,,,
50,18,48000,White,Male,,,
0,18,48000,White,Female,,,
50,18,48500,White,Male,,,
40,18,48500,White,Female,,,
47,18,48514,White,Female,,,
45,18,48802,White,Female,,,
40,18,49000,White,Male,,,
40,18,49000,White,Female,,,
40,18,49000,White,Male,,,
40,18,49000,White,Male,,,
60,18,49500,White,Male,,,
42,18,49580,White,Female,,,
40,18,50000,White,Male,,,
0,18,50000,White,Male,,,
0,18,50000,AsianPI,Male,,,
0,18,50000,White,Male,,,
35,18,50000,White,Male,,,
40,18,50000,White,Male,,,
60,18,50000,White,Female,,,
50,18,50000,White,Female,,,
60,18,50000,White,Female,,,
80,18,50000,White,Male,,,
40,18,50000,White,Female,,,
45,18,50000,White,Male,,,
50,18,50000,White,Female,,,
35,18,50000,Black,Female,,,
40,18,50000,White,Female,,,
45,18,50000,White,Male,,,
40,18,50000,White,Female,,,
40,18,50000,White,Female,,,
45,18,50000,White,Female,,,
40,18,50000,AsianPI,Male,,,
55,18,50000,White,Male,,,
40,18,50000,AsianPI,Male,,,
37,18,50000,White,Female,,,
40,18,50000,White,Female,,,
40,18,50000,White,Female,,,
40,18,50000,White,Female,,,
50,18,50000,White,Male,,,
40,18,50000,AsianPI,Female,,,
45,18,50000,White,Female,,,
40,18,50000,White,Female,,,
70,18,50000,White,Female,,,
35,18,51000,Black,Female,,,
40,18,51000,White,Female,,,
50,18,51200,White,Female,,,
38,18,51678,White,Male,,,
40,18,51705,White,Male,,,
40,18,52000,White,Female,,,
40,18,52000,White,Female,,,
45,18,52000,White,Male,,,
40,18,52000,AsianPI,Female,,,
60,18,52000,White,Female,,,
40,18,52000,White,Male,,,
40,18,52000,White,Male,,,
45,18,52000,White,Male,,,
40,18,52000,Black,Female,,,
52,18,52000,IndEsk,Male,,,
80,18,52500,Black,Male,,,
40,18,52500,AsianPI,Female,,,
45,18,53000,White,Female,,,
45,18,53000,Black,Female,,,
40,18,53000,White,Female,,,
40,18,53000,Black,Female,,,
50,18,53000,White,Male,,,
45,18,53000,White,Male,,,
40,18,54000,Black,Female,,,
40,18,54000,White,Male,,,
40,18,54000,White,Male,,,
70,18,54000,White,Female,,,
40,18,54044,White,Female,,,
50,18,54617,White,Female,,,
47,18,55000,White,Female,,,
40,18,55000,White,Male,,,
40,18,55000,White,Male,,,
40,18,55000,White,Male,,,
60,18,55000,White,Female,,,
40,18,55000,Black,Male,,,
40,18,55000,White,Male,,,
40,18,55000,White,Female,,,
50,18,55000,White,Male,,,
40,18,55000,White,Male,,,
50,18,55000,White,Female,,,
40,18,55000,AsianPI,Male,,,
80,18,55000,White,Male,,,
40,18,55000,White,Male,,,
40,18,55800,White,Female,,,
0,18,56000,White,Female,,,
40,18,56000,White,Female,,,
70,18,56000,White,Male,,,
40,18,56535,White,Male,,,
36,18,57000,White,Male,,,
50,18,57000,Black,Male,,,
50,18,57000,White,Male,,,
37,18,57000,White,Female,,,
40,18,57000,White,Female,,,
40,18,57000,White,Male,,,
40,18,57000,White,Female,,,
40,18,57240,White,Female,,,
40,18,57500,Black,Male,,,
40,18,57800,White,Male,,,
45,18,58000,White,Female,,,
40,18,58000,White,Male,,,
50,18,58000,White,Male,,,
40,18,58000,White,Male,,,
50,18,58000,Black,Female,,,
63,18,58700,White,Male,,,
40,18,59000,White,Female,,,
45,18,59000,White,Female,,,
40,18,59000,White,Female,,,
45,18,59500,White,Male,,,
40,18,59925,White,Male,,,
62,18,59925,White,Male,,,
40,18,60000,White,Female,,,
40,18,60000,White,Male,,,
40,18,60000,IndEsk,Male,,,
50,18,60000,White,Male,,,
40,18,60000,White,Male,,,
40,18,60000,White,Male,,,
40,18,60000,White,Male,,,
40,18,60000,White,Male,,,
40,18,60000,White,Male,,,
50,18,60000,Black,Male,,,
60,18,60000,Black,Female,,,
40,18,60000,White,Female,,,
50,18,60000,White,Male,,,
60,18,62000,White,Female,,,
45,18,62000,White,Male,,,
40,18,62000,White,Male,,,
50,18,62000,White,Male,,,
58,18,62000,White,Male,,,
60,18,62000,White,Male,,,
40,18,62200,White,Male,,,
45,18,63000,White,Male,,,
40,18,63000,White,Male,,,
40,18,63000,AsianPI,Male,,,
40,18,63826,Black,Female,,,
50,18,64000,White,Male,,,
40,18,64000,White,Female,,,
43,18,64000,White,Male,,,
40,18,64400,White,Male,,,
65,18,65000,White,Male,,,
42,18,65000,White,Male,,,
0,18,65000,White,Female,,,
40,18,65000,White,Male,,,
50,18,65000,White,Male,,,
72,18,65000,White,Male,,,
40,18,65000,White,Female,,,
60,18,65000,White,Male,,,
50,18,65000,White,Male,,,
50,18,65000,White,Male,,,
50,18,65000,White,Female,,,
50,18,65000,White,Female,,,
50,18,65000,White,Female,,,
60,18,65000,White,Male,,,
40,18,65000,White,Female,,,
60,18,65000,White,Male,,,
50,18,65000,White,Male,,,
40,18,65000,White,Male,,,
40,18,65045,White,Male,,,
47,18,65500,White,Male,,,
45,18,65583,White,Female,,,
60,18,65628,White,Female,,,
48,18,66000,White,Female,,,
40,18,67000,White,Male,,,
45,18,67000,White,Male,,,
45,18,67100,White,Female,,,
45,18,67600,Black,Male,,,
40,18,67600,Black,Male,,,
42,18,68000,White,Male,,,
45,18,68002,White,Male,,,
60,18,69000,White,Male,,,
50,18,69000,White,Male,,,
46,18,69000,White,Male,,,
55,18,69000,White,Male,,,
60,18,70000,White,Female,,,
40,18,70000,White,Male,,,
40,18,70000,White,Female,,,
40,18,70000,White,Female,,,
0,18,70000,White,Male,,,
40,18,70000,White,Female,,,
45,18,70000,White,Male,,,
40,18,70000,White,Female,,,
38,18,70000,Black,Female,,,
40,18,70000,White,Male,,,
55,18,70000,White,Male,,,
60,18,70000,White,Female,,,
40,18,70000,White,Male,,,
56,18,70000,White,Male,,,
40,18,70000,White,Male,,,
40,18,70000,AsianPI,Male,,,
40,18,70000,White,Male,,,
50,18,70261,White,Female,,,
50,18,70500,White,Male,,,
40,18,72000,White,Male,,,
40,18,72000,White,Male,,,
45,18,72000,White,Male,,,
60,18,72000,White,Male,,,
40,18,72000,Black,Female,,,
40,18,72000,White,Male,,,
40,18,72160,White,Female,,,
40,18,72200,White,Male,,,
45,18,72474,White,Male,,,
40,18,72539,White,Female,,,
60,18,73500,White,Male,,,
40,18,74800,White,Male,,,
45,18,74925,IndEsk,Male,,,
40,18,75000,White,Male,,,
40,18,75000,White,Female,,,
40,18,75000,White,Male,,,
40,18,75000,White,Male,,,
40,18,75000,Black,Male,,,
40,18,75000,Black,Male,,,
35,18,75000,White,Male,,,
50,18,75000,White,Male,,,
90,18,75000,White,Male,,,
40,18,75000,White,Male,,,
50,18,75000,AsianPI,Male,,,
40,18,75000,White,Male,,,
40,18,75000,White,Male,,,
60,18,76000,White,Male,,,
40,18,76300,White,Female,,,
40,18,76500,White,Male,,,
60,18,77000,White,Male,,,
40,18,77000,AsianPI,Female,,,
40,18,77500,White,Female,,,
50,18,77925,White,Male,,,
0,18,77925,White,Male,,,
42,18,78000,White,Male,,,
55,18,79000,White,Male,,,
40,18,80000,White,Male,,,
50,18,80000,White,Female,,,
40,18,80000,AsianPI,Female,,,
60,18,80000,White,Male,,,
50,18,80000,White,Male,,,
50,18,80000,White,Male,,,
0,18,80000,White,Male,,,
40,18,80000,White,Male,,,
50,18,80000,White,Female,,,
40,18,80000,AsianPI,Male,,,
45,18,80000,White,Male,,,
0,18,80000,White,Female,,,
40,18,81000,White,Male,,,
50,18,81000,White,Male,,,
40,18,81360,White,Male,,,
45,18,83000,White,Male,,,
60,18,83000,White,Male,,,
0,18,83000,White,Male,,,
98,18,83200,White,Male,,,
40,18,83500,Black,Female,,,
60,18,84849,White,Female,,,
60,18,85000,White,Female,,,
50,18,85000,White,Female,,,
50,18,85000,White,Female,,,
50,18,85000,Black,Male,,,
50,18,85000,White,Male,,,
50,18,86000,White,Female,,,
74,18,86000,White,Male,,,
60,18,88000,White,Male,,,
40,18,88000,White,Male,,,
50,18,88000,White,Male,,,
70,18,88000,White,Male,,,
45,18,88000,White,Male,,,
40,18,89925,White,Male,,,
60,18,90000,Black,Male,,,
70,18,90000,White,Male,,,
50,18,90000,White,Male,,,
