Date,SP500,Nasdaq
1984-07-02,-0.016451234,-0.041518882
1984-08-01,0.106332139,0.108576404
1984-09-04,-0.003479722,-0.01845743
1984-10-01,-6.02E-05,-0.011762823
1984-11-01,-0.015112289,-0.018623482
1984-12-03,0.022374373,0.019389439
1985-01-02,0.074085147,0.127883448
1985-02-01,0.008628848,0.019734482
1985-03-01,-0.002870074,-0.017593244
1985-04-01,-0.004594265,0.005014327
1985-05-01,0.054051048,0.036350677
1985-06-03,0.012134002,0.018569464
1985-07-01,-0.004847537,0.017218096
1985-08-01,-0.011994553,-0.011948224
1985-09-03,-0.034724063,-0.058448102
1985-10-01,0.042508787,0.043524795
1985-11-01,0.065061637,0.073504274
1985-12-02,0.045061087,0.034713376
1986-01-02,0.002366528,0.033548784
1986-02-03,0.071489281,0.070577725
1986-03-03,0.052793936,0.042280946
1986-04-01,-0.014148179,0.022684815
1986-05-01,0.05022928,0.044363257
1986-06-02,0.014109561,0.013243378
1986-07-01,-0.058682826,-0.084093711
1986-08-01,0.071192614,0.03096392
1986-09-02,-0.085438659,-0.084095064
1986-10-01,0.054729379,0.028799544
1986-11-03,0.02147717,-0.003325942
1986-12-01,-0.028288259,-0.03003337
1987-01-02,0.131766941,0.124139908
1987-02-02,0.036923526,0.083907167
1987-03-02,0.026389866,0.012
1987-04-01,-0.01145012,-0.028598
1987-05-01,0.006034124,-0.003111537
1987-06-01,0.047914512,0.019687875
1987-07-01,0.048223684,0.024016953
1987-08-03,0.03495889,0.046217521
1987-09-01,-0.024166161,-0.023516484
1987-10-01,-0.217630426,-0.27233851
1987-11-02,-0.085348902,-0.055985153
1987-12-01,0.072861485,0.082896461
1988-01-04,0.040432249,0.042965204
1988-02-01,0.041817404,0.064693937
1988-03-01,-0.03334329,0.020708447
1988-04-04,0.009424852,0.012279765
1988-05-02,0.003176061,-0.023470464
1988-06-01,0.043256027,0.06589252
1988-07-01,-0.005411335,-0.018748417
1988-08-01,-0.038600103,-0.027627162
1988-09-01,0.039729275,0.029474243
1988-10-03,0.025964474,-0.013412432
1988-11-01,-0.01889092,-0.02875817
1988-12-01,0.014687614,0.026648721
1989-01-03,0.071114792,0.052176193
1989-02-01,-0.028944095,-0.003987042
1989-03-01,0.020805927,0.017513135
1989-04-03,0.05008987,0.05138923
1989-05-01,0.035137579,0.043498597
1989-06-01,-0.007924622,-0.024428507
1989-07-03,0.088370338,0.042499426
1989-08-01,0.015516644,0.034156016
1989-09-01,-0.006544316,0.007670999
1989-10-02,-0.025175426,-0.036582787
1989-11-01,0.016541309,0.001097454
1989-12-01,0.021416804,-0.002850252
1990-01-02,-0.068817204,-0.085751979
1990-02-01,0.008538957,0.024050024
1990-03-01,0.024255024,0.022780648
1990-04-02,-0.026887098,-0.035361653
1990-05-01,0.091989117,0.092597001
1990-06-01,-0.008886305,0.007189542
1990-07-02,-0.005223172,-0.052130651
1990-08-01,-0.094314193,-0.13007759
1990-09-04,-0.051184276,-0.096274921
1990-10-01,-0.006698252,-0.042670537
1990-11-01,0.059934211,0.088841722
1990-12-03,0.024827757,0.040935673
1991-01-02,0.041517776,0.108079187
1991-02-01,0.067281133,0.093915983
1991-03-01,0.02220285,0.064444935
1991-04-01,0.000319812,0.005017624
1991-05-01,0.038604998,0.044128569
1991-06-03,-0.047892671,-0.059651064
1991-07-01,0.04485936,0.054883174
1991-08-01,0.019648797,0.047087881
1991-09-03,-0.019143717,0.002282758
1991-10-01,0.011834167,0.030557243
1991-11-01,-0.043903682,-0.035139416
1991-12-02,0.111587868,0.11918305
1992-01-02,-0.019923757,0.057765119
1992-02-03,0.00958951,0.021379855
1992-03-02,-0.021831839,-0.04688462
1992-04-01,0.02789269,-0.041555559
1992-05-01,0.000963972,0.011457109
1992-06-01,-0.017358854,-0.037091456
1992-07-01,0.039373744,0.030571327
1992-08-03,-0.023997548,-0.030490849
